data,open,high,low,close,volume ,changepercent
2020/7/2,25936.45 ,26204.41 ,25778.12 ,25827.36 ,0,0.36%
2020/7/6,25996.08 ,26297.53 ,25996.08 ,26287.03 ,0,1.78%
2020/7/7,26172.01 ,26174.93 ,25866.58 ,25890.18 ,0,-1.51%
2020/7/8,25950.06 ,26109.49 ,25816.25 ,26067.28 ,0,0.68%
2020/7/9,26094.92 ,26103.28 ,25523.51 ,25706.09 ,0,-1.39%
2020/7/10,25690.35 ,26101.32 ,25637.50 ,26075.30 ,0,1.44%
2020/7/13,26225.07 ,26639.09 ,26044.23 ,26085.80 ,0,0.04%
2020/7/14,26044.17 ,26690.52 ,25994.98 ,26642.59 ,0,2.13%
2020/7/15,27009.81 ,27071.33 ,26692.48 ,26870.10 ,0,0.85%
2020/7/16,26746.57 ,26879.16 ,26590.01 ,26734.71 ,0,-0.50%
2020/7/17,26774.62 ,26808.43 ,26619.88 ,26671.95 ,0,-0.23%
2020/7/20,26660.29 ,26765.02 ,26504.20 ,26680.87 ,0,0.03%
2020/7/21,26833.14 ,27025.38 ,26766.22 ,26840.40 ,0,0.60%
2020/7/22,26824.56 ,27035.24 ,26794.19 ,27005.84 ,0,0.62%
2020/7/23,26955.97 ,26973.85 ,26560.04 ,26652.33 ,0,-1.31%
2020/7/24,26533.41 ,26625.70 ,26402.86 ,26469.89 ,0,-0.68%
2020/7/27,26447.67 ,26625.46 ,26426.92 ,26584.77 ,0,0.43%
2020/7/28,26529.45 ,26556.84 ,26361.71 ,26379.28 ,0,-0.77%
2020/7/29,26388.44 ,26602.45 ,26375.39 ,26539.57 ,0,0.61%
2020/7/30,26367.42 ,26374.93 ,25992.28 ,26313.65 ,0,-0.85%
2020/7/31,26409.33 ,26440.02 ,26013.59 ,26428.32 ,0,0.44%
2020/8/3,26542.32 ,26707.26 ,26534.38 ,26664.40 ,0,0.89%
2020/8/4,26664.61 ,26832.72 ,26597.82 ,26828.47 ,0,0.62%
2020/8/5,26924.78 ,27221.67 ,26924.78 ,27201.52 ,0,1.39%
2020/8/6,27170.82 ,27394.10 ,27145.25 ,27386.98 ,0,0.68%
2020/8/7,27321.68 ,27456.24 ,27223.55 ,27433.48 ,0,0.17%
